num,letter,den,eng
1,"i","kił","young man"
1,"i","nelni’","steambath"
1,"i","iyni","gun"
1,"i","ggih","bug, insect"
1,"i","łi","glacier"
1,"i","łih","whitefish"
1,"i","biłni","water"
1,"i","dghini","s/he said"
1,"i","qil","no good"
1,"i","q’in","fish eggs"
2,"a","ał","deadfall trap"
2,"a","stsa’a","my daughter"
2,"a","baba","dry fish"
2,"a","ha","grease"
2,"a","nuta","two"
2,"a","ggagga","brown bear"
2,"a","tał","mat"
2,"a","t’ash","charcoal"
2,"a","qanchi","porcupine"
2,"a","tabagh","beach"
2,"a","chabash","rock scraper"
3,"u","ush","snowshoes"
3,"u","gu","here"
3,"u","uh","fern root"
3,"u","yeghighun","s/he made them"
3,"u","tułchuda","muskrat"
3,"u","nuł","sleep"
3,"u","tayun","the one who left"
3,"u","nuti’","salt, ocean, Cook Inlet"
3,"u","eyu’ tsukdu","the lice story"
4,"e","eł","spruce boughs"
4,"e","heł"," club"
4,"e","l’egen","shaman"
4,"e","neł","wedge"
4,"e","tage","poor thing, pity"
4,"e","hey","winter; pus"
4,"e","beqen","her husband"
4,"e","hesh","thorn"
4,"e","tets’","cane"
4,"e","seł / sheł","boots; steam; with me"
5,"b","baba","dry fish"
5,"b","ben","lake"
5,"b","shabila","rainbow"
5,"b","dghelbuts’","it’s round"
5,"b","ts’elbeni","wormwood (plant)"
5,"b","baqay","canoe"
5,"b","nutbaq’","s/he’s vomiting"
5,"b","ben bugh","lake shore"
5,"b","buda","his older sister"
5,"b","esbay","mountain goat"
6,"m","delggema","willow ptarmigan"
6,"m","mam’a","breast"
6,"m","ch’qałch’ema","butterfly"
6,"m","nalchem","it’s compressed"
6,"m","dem, dema","fly"
6,"m","dghelt’emi","it’s thickly limbed, thickly wooded"
6,"m","malagu","milk"
6,"m","dneldemi","guitar, harmonica"
6,"m","k’embek","goshawk"
6,"m","q’ach’ema","rock ptarmigan"
7,"n","nen","you"
7,"n","nan","moss"
7,"n","k’enut’, k’enut","fish meat"
7,"n","shan, shani","summer"
7,"n","nelni","steambath"
7,"n","shnan","my face"
7,"n","ełnen, ełen","land, ground"
7,"n","k’etdnun","s/he’s drinking"
7,"n","nunkda, nukda","your mother"
7,"n","nayneq","lamp"
8,"’ (glottal stop)","chin’an","thank you"
8,"’ (glottal stop)","sh’u","my wife"
8,"’ (glottal stop)","betsa’a","his daughter"
8,"’ (glottal stop)","ey’un","it is there"
8,"’ (glottal stop)","dlin’a","mouse"
8,"’ (glottal stop)","Dena’ina","Dena’ina people"
8,"’ (glottal stop)","shey’a’","my son"
8,"’ (glottal stop)","k’e’un","den, hole"
8,"’ (glottal stop)","sh’iyi’","my name"
8,"’ (glottal stop)","yeł’ech’","I sneezed"
9,"d","deldida","tree squirrel"
9,"d","ndał","crane"
9,"d","dak","coat, dress"
